"data" "selic"
 2000.01 "1,4557"
 2009.12 "0,7300"
 2010.01 "0,6600"
 2010.02 "0,5900"
 2010.03 "0,7600"
 2010.04 "0,6700"
 2010.05 "0,7500"
 2010.06 "0,7900"
 2010.07 "0,8600"
 2010.08 "0,8900"
 2010.09 "0,8500"
 2010.10 "0,8100"
 2010.11 "0,8100"
 2010.12 "0,9073"
 2011.01 "0,8623"
 2011.02 "0,8439"
 2011.03 "0,9205"
 2011.04 "0,8402"
 2011.05 "0,9880"
 2011.06 "0,9563"
 2011.07 "0,9679"
 2011.08 "1,0741"
 2011.09 "0,9418"
 2011.10 "0,8820"
 2011.11 "0,8605"
 2011.12 "0,9073"
 2012.01 "0,8910"
 2012.02 "0,7488"
 2012.03 "0,8211"
 2012.04 "0,7119"
 2012.05 "0,7447"
 2012.06 "0,6415"
 2012.07 "0,6800"
 2012.08 "0,6918"
 2012.09 "0,5390"
 2012.10 "0,6113"
 2012.11 "0,5489"
 2012.12 "0,5502"
 2013.01 "0,6014"
 2013.02 "0,4933"
 2013.03 "0,5494"
 2013.04 "0,6137"
 2013.05 "0,5985"
 2013.06 "0,6053"
 2013.07 "0,7241"
 2013.08 "0,7103"
 2013.09 "0,7130"
 2013.10 "0,8105"
 2013.11 "0,7192"
 2013.12 "0,7897"
 2014.01 "0,8493"
 2014.02 "0,7901"
 2014.03 "0,7659"
 2014.04 "0,8227"
 2014.05 "0,8659"
 2014.06 "0,8245"
 2014.07 "0,9487"
 2014.08 "0,8660"
 2014.09 "0,9073"
 2014.10 "0,9505"
 2014.11 "0,8425"
 2014.12 "0,9613"
 2015.01 "0,9351"
 2015.02 "0,8224"
 2015.03 "1,0400"
 2015.04 "0,9518"
 2015.05 "0,9853"
 2015.06 "1,0667"
 2015.07 "1,1782"
 2015.08 "1,1090"
 2015.09 "1,1090"
 2015.10 "1,1090"
 2015.11 "1,0559"
 2015.12 "1,1621"
 2016.01 "1,0559"
 2016.02 "1,0028"
 2016.03 "1,1621"
 2016.04 "1,0559"
 2016.05 "1,1090"
 2016.06 "1,1621"
 2016.07 "1,1090"
 2016.08 "1,2152"
 2016.09 "1,1090"
 2016.10 "1,0488"
 2016.11 "1,0383"
 2016.12 "1,1233"
 2017.01 "1,0861"
 2017.02 "0,8651"
 2017.03 "1,0521"
 2017.04 "0,7866"
 2017.05 "0,9271"
 2017.06 "0,8089"
 2017.07 "0,7979"
 2017.08 "0,8023"
 2017.09 "0,6385"
 2017.10 "0,6439"
 2017.11 "0,5682"
 2017.12 "0,5384"
 2018.01 "0,5842"
 2018.02 "0,4656"
